"Name","RIJPTIJD","KOOKTYPE","VLEESKLEUR NA KOKEN","VERKLEURING KOKEN","NABAKKEN","GRAUW NA VOORBAKKEN","Fictief"
"R1",78,19,64,63,66,69,65
"R10",56,36,68,62,66,74,35
"R100",64,44,62,67,54,67,32
"R101",65,35,69,62,65,65,45
"R102",68,33,62,66,68,69,59
"R103",73,37,68,64,74,70,72
"R104",62,47,67,67,75,75,32
"R105",60,37,66,63,65,70,79
"R106",67,35,69,62,65,72,81
"R107",72,32,68,62,67,72,74
"R108",63,37,64,68,67,74,54
"R109",73,28,67,64,73,73,48
"R11",69,41,63,61,65,73,13
"R110",54,46,49,67,57,69,51
"R111",57,42,65,62,59,69,68
"R112",68,42,67,62,72,71,80
"R113",62,38,46,61,72,70,27
"R114",68,23,67,66,62,75,43
"R115",68,28,52,63,65,69,15
"R116",65,30,50,64,68,73,26
"R117",47,38,56,63,66,69,14
"R118",70,35,59,66,76,77,71
"R119",55,22,55,63,67,69,93
"R12",51,45,53,59,66,60,43
"R120",63,33,47,64,74,67,94
"R121",67,18,54,68,58,70,97
"R122",60,37,66,67,64,73,86
"R123",80,32,61,64,71,72,82
"R124",62,33,55,64,70,73,55
"R125",68,33,60,64,75,76,32
"R126",63,32,64,69,59,70,24
"R127",67,35,65,67,70,75,57
"R128",62,28,49,62,73,66,81
"R129",62,33,69,69,69,75,70
"R13",65,39,62,59,74,80,67
"R130",62,40,63,66,53,72,49
"R131",63,40,60,64,70,71,53
"R132",60,20,70,68,61,71,16
"R133",70,42,66,63,77,74,17
"R134",73,35,66,65,60,71,57
"R135",58,47,68,62,71,69,56
"R136",80,30,67,65,78,74,88
"R137",61,52,65,66,65,73,96
"R138",58,18,51,57,47,57,19
"R139",67,43,63,66,71,71,14
"R14",77,30,66,66,63,75,63
"R140",60,28,64,58,64,64,29
"R141",56,46,64,66,60,70,58
"R142",65,40,61,66,63,72,30
"R143",43,38,66,66,61,74,68
"R144",63,20,49,51,59,58,35
"R145",73,47,46,65,75,75,19
"R146",57,40,65,58,66,76,23
"R147",73,35,66,62,74,72,44
"R148",48,47,54,64,65,63,28
"R149",53,43,62,69,66,71,17
"R15",60,29,70,64,74,74,20
"R150",72,18,66,65,71,76,70
"R151",65,43,63,70,77,73,37
"R152",56,45,56,66,60,67,90
"R153",73,35,68,68,67,74,17
"R154",65,42,69,68,64,71,44
"R155",61,42,49,63,66,69,49
"R156",57,37,68,67,62,70,90
"R157",70,38,59,67,65,70,41
"R158",72,20,61,63,68,70,22
"R159",52,38,61,67,63,67,14
"R16",68,39,69,64,64,76,92
"R160",63,42,59,66,62,66,84
"R161",53,40,62,64,60,74,64
"R162",43,37,64,67,67,69,84
"R163",55,35,67,66,69,72,97
"R164",47,40,50,52,72,50,59
"R165",55,48,61,68,66,74,17
"R166",55,40,62,66,69,77,87
"R167",67,40,66,66,72,73,36
"R168",68,32,62,68,75,67,32
"R169",67,30,65,65,71,78,91
"R17",65,41,62,60,75,76,84
"R170",82,18,64,67,74,70,42
"R171",60,45,63,63,75,70,82
"R172",73,38,54,62,71,71,48
"R173",63,45,62,67,74,72,29
"R174",68,35,65,66,50,67,38
"R175",58,30,48,63,72,78,42
